"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.901093629E1,6.500815667E1,2.546512333E1,1.073477757E1,7.602447271E-1,2.120000000E2,1.899999976E0,2.160000038E1
1.000109363E2,6.500814667E1,2.546510667E1,1.043478029E1,7.185522318E-1,2.120000000E2,2.000000000E0,2.220000076E1
1.010109363E2,6.500813500E1,2.546509000E1,1.003478365E1,6.959044337E-1,2.120000000E2,2.000000000E0,2.210000038E1
1.020109363E2,6.500812000E1,2.546506833E1,9.734787954E0,6.989927888E-1,2.120000000E2,2.000000000E0,2.139999962E1
1.030109363E2,6.500810667E1,2.546504833E1,9.634791733E0,7.123755813E-1,2.120000000E2,2.000000000E0,2.160000038E1
1.040109363E2,6.500809667E1,2.546503333E1,9.234794567E0,7.602447271E-1,2.120000000E2,2.000000000E0,2.239999962E1
1.050109363E2,6.500808333E1,2.546501333E1,9.434798347E0,8.091433048E-1,2.120000000E2,2.000000000E0,2.270000076E1
1.060109363E2,6.500807500E1,2.546500167E1,9.534800765E0,8.544389009E-1,2.120000000E2,2.000000000E0,2.379999924E1
1.070109363E2,6.500806667E1,2.546499000E1,9.734803183E0,9.172350168E-1,2.120000000E2,2.000000000E0,2.229999924E1
1.080109363E2,6.500805500E1,2.546497000E1,9.834806324E0,9.805458188E-1,2.120000000E2,2.000000000E0,2.260000038E1
1.090109363E2,6.500804333E1,2.546495500E1,9.834809799E0,1.042827249E0,2.120000000E2,2.000000000E0,2.250000000E1
1.100109363E2,6.500803000E1,2.546493667E1,1.003481369E1,1.112829447E0,2.120000000E2,2.000000000E0,2.139999962E1
1.110109363E2,6.500801333E1,2.546491000E1,1.023481831E1,1.162242770E0,2.120000000E2,2.000000000E0,2.220000076E1
1.120109363E2,6.500799333E1,2.546488167E1,1.053482409E1,1.217318058E0,2.120000000E2,1.899999976E0,2.310000038E1
1.130109363E2,6.500798000E1,2.546486167E1,1.063482788E1,1.271363854E0,2.120000000E2,1.899999976E0,2.220000076E1
1.140109363E2,6.500797000E1,2.546484667E1,1.063483071E1,1.276511073E0,2.120000000E2,1.899999976E0,2.300000000E1
1.150109363E2,6.500795833E1,2.546483000E1,1.053483408E1,1.279599428E0,2.120000000E2,1.899999976E0,2.279999924E1
1.160109363E2,6.500794833E1,2.546481500E1,1.053483692E1,1.326439142E0,2.120000000E2,1.899999976E0,2.320000076E1
1.170109363E2,6.500793667E1,2.546479667E1,1.053484017E1,1.320262551E0,2.120000000E2,1.899999976E0,2.270000076E1
1.180109363E2,6.500792167E1,2.546477500E1,1.063484449E1,1.290408611E0,2.120000000E2,1.899999976E0,2.110000038E1
1.190109363E2,6.500791167E1,2.546476000E1,1.103484733E1,1.267246127E0,2.120000000E2,1.899999976E0,2.129999924E1
1.200109363E2,6.500790500E1,2.546475000E1,1.103484922E1,1.269819736E0,2.120000000E2,1.899999976E0,2.060000038E1
1.210109363E2,6.500789333E1,2.546473333E1,1.093485259E1,1.257466435E0,2.120000000E2,1.899999976E0,2.129999924E1
1.220109363E2,6.500788333E1,2.546471833E1,1.063485543E1,1.251289725E0,2.120000000E2,1.899999976E0,2.210000038E1
1.230109363E2,6.500787167E1,2.546470167E1,1.053485880E1,1.225038886E0,2.120000000E2,1.899999976E0,2.260000038E1
1.240109363E2,6.500786167E1,2.546468500E1,1.053486153E1,1.237392187E0,2.120000000E2,1.899999976E0,2.239999962E1
1.250109363E2,6.500784667E1,2.546467500E1,1.023486662E1,1.210111976E0,1.855700073E2,1.899999976E0,2.239999962E1
1.260109363E2,6.500783833E1,2.546463500E1,9.934867153E0,1.155036688E0,2.346799927E2,1.899999976E0,2.250000000E1
1.270109363E2,6.500783167E1,2.546459333E1,9.634866936E0,1.143712759E0,2.490599976E2,1.899999976E0,2.179999924E1
1.280109363E2,6.500782500E1,2.546454667E1,9.434866386E0,1.184375882E0,2.389400024E2,1.799999952E0,2.070000076E1
1.290109363E2,6.500781833E1,2.546450000E1,9.334865837E0,1.184890509E0,2.621199951E2,1.799999952E0,1.889999962E1
1.300109363E2,6.500781500E1,2.546445667E1,9.134864229E0,1.181802273E0,2.509900055E2,1.799999952E0,1.760000038E1
1.310109363E2,6.500781333E1,2.546442333E1,8.934862648E0,1.233789206E0,2.673500061E2,1.700000048E0,1.739999962E1
1.320109363E2,6.500781000E1,2.546439333E1,8.634861929E0,1.263128281E0,2.623500061E2,1.600000024E0,1.710000038E1
1.330109363E2,6.500781000E1,2.546435833E1,8.734859596E0,1.287835002E0,2.714200134E2,1.600000024E0,1.750000000E1
1.340109363E2,6.500781000E1,2.546432667E1,8.834857485E0,1.312026978E0,2.702999878E2,1.600000024E0,1.800000000E1
1.350109363E2,6.500781000E1,2.546429667E1,8.834855486E0,1.359381437E0,2.662200012E2,1.600000024E0,1.760000038E1
1.360109363E2,6.500780833E1,2.546427667E1,8.734854793E0,1.349601626E0,2.443699951E2,1.600000024E0,1.789999962E1
1.370109363E2,6.500780833E1,2.546426000E1,8.734853683E0,1.332615852E0,2.629700012E2,1.700000048E0,1.839999962E1
1.380109363E2,6.500780667E1,2.546424000E1,8.834852990E0,1.282173038E0,2.574800110E2,1.700000048E0,1.939999962E1
1.390109363E2,6.500780333E1,2.546421333E1,9.034852494E0,1.312541723E0,2.531100006E2,1.799999952E0,2.029999924E1
1.400109363E2,6.500780000E1,2.546418500E1,9.334851888E0,1.349087000E0,2.559499969E2,1.799999952E0,1.939999962E1
1.410109363E2,6.500779667E1,2.546415500E1,9.634851170E0,1.356807828E0,2.457400055E2,1.799999952E0,2.010000038E1
1.420109363E2,6.500779500E1,2.546411500E1,9.734849146E0,1.304820776E0,2.425000000E2,2.000000000E0,1.870000076E1
1.430109363E2,6.500779167E1,2.546408167E1,9.534848206E0,1.259010553E0,2.605899963E2,2.000000000E0,1.900000000E1
1.440109363E2,6.500779167E1,2.546404833E1,9.334845985E0,1.222465277E0,2.553800049E2,2.000000000E0,1.900000000E1
1.450109363E2,6.500778833E1,2.546401833E1,8.834845268E0,1.226583004E0,2.571199951E2,1.899999976E0,1.629999924E1
1.460109363E2,6.500778667E1,2.546399000E1,8.734844021E0,1.339821935E0,2.600299988E2,1.899999976E0,1.539999962E1
1.470109363E2,6.500778333E1,2.546394667E1,8.534842416E0,1.432471991E0,2.627999878E2,1.899999976E0,1.550000000E1
1.480109363E2,6.500777833E1,2.546390833E1,8.234841785E0,1.481885314E0,2.430800018E2,2.000000000E0,1.539999962E1
1.490109363E2,6.500777500E1,2.546386833E1,7.934840403E0,1.478282213E0,2.653200073E2,1.899999976E0,1.530000019E1
1.500109363E2,6.500777167E1,2.546383667E1,7.634839576E0,1.441222191E0,2.597000122E2,1.899999976E0,1.519999981E1
1.510109363E2,6.500776833E1,2.546380667E1,7.534838860E0,1.387176394E0,2.508099976E2,1.899999976E0,1.510000038E1
1.520109363E2,6.500776500E1,2.546377500E1,7.234838033E0,1.447913647E0,2.613599854E2,1.899999976E0,1.510000038E1
1.530109363E2,6.500776167E1,2.546373500E1,7.034836652E0,1.478796959E0,2.505399933E2,2.000000000E0,1.569999981E1
1.540109363E2,6.500775667E1,2.546370667E1,6.734836689E0,1.490635514E0,2.432299957E2,2.000000000E0,1.800000000E1
1.550109363E2,6.500775000E1,2.546366333E1,6.334836369E0,1.528725028E0,2.471399994E2,2.000000000E0,1.689999962E1
1.560109363E2,6.500774833E1,2.546362000E1,6.134834125E0,1.518430591E0,2.479499969E2,2.000000000E0,1.660000038E1
1.570109363E2,6.500774167E1,2.546357667E1,6.034833805E0,1.546740294E0,2.500399933E2,2.000000000E0,1.700000000E1
1.580109363E2,6.500773333E1,2.546351833E1,9.034833130E0,1.563726068E0,2.469199982E2,2.099999905E0,1.670000076E1
1.590109363E2,6.500773167E1,2.546348667E1,1.053483166E1,1.572991133E0,2.513200073E2,2.099999905E0,1.720000076E1
1.600109363E2,6.500772833E1,2.546347333E1,1.113483206E1,1.581226707E0,2.496000061E2,2.000000000E0,1.639999962E1
1.610109363E2,6.500772333E1,2.546342000E1,1.153483043E1,1.643508077E0,2.521399994E2,1.899999976E0,1.689999962E1
1.620109363E2,6.500772000E1,2.546340167E1,1.183483050E1,1.637331367E0,2.610000000E2,1.899999976E0,1.639999962E1
1.630109363E2,6.500771833E1,2.546338500E1,1.213483003E1,1.655346632E0,2.610000000E2,1.899999976E0,1.679999924E1
1.640109363E2,6.500771667E1,2.546336500E1,1.233482934E1,1.652258277E0,2.610000000E2,1.799999952E0,1.770000076E1
1.650109363E2,6.500771500E1,2.546332500E1,1.253482732E1,1.628581166E0,2.610000000E2,1.700000048E0,1.739999962E1
1.660109363E2,6.500771333E1,2.546330500E1,1.273482663E1,1.629610538E0,2.610000000E2,1.700000048E0,1.610000038E1
1.670109363E2,6.500771000E1,2.546325833E1,1.293482481E1,1.582770824E0,2.610000000E2,1.700000048E0,1.629999924E1
1.680109363E2,6.500770667E1,2.546321667E1,1.303482332E1,1.542622447E0,2.610000000E2,1.700000048E0,1.679999924E1
1.690109363E2,6.500770500E1,2.546318333E1,1.313482174E1,1.507106662E0,2.610000000E2,1.600000024E0,1.620000076E1
1.700109363E2,6.500770333E1,2.546315167E1,1.323482028E1,1.514312744E0,2.610000000E2,1.600000024E0,1.670000076E1
1.710109363E2,6.500770000E1,2.546312500E1,1.333481979E1,1.499900579E0,2.610000000E2,1.600000024E0,1.670000076E1
